[2014-03-23 11:29:26,027] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (45.18536,29.655238,'DC2','Judetul Tulcea','Sulina','Romania');
[2014-03-23 11:29:26,062] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : SELECT * FROM VictimLocation;
[2014-03-23 11:29:26,063] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: SELECT * FROM VictimLocation;
[2014-03-23 11:29:26,233] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (44.057735,28.596516,'Strada Ion Tuculescu','Judetul Constanta','Techirghiol','Romania');
[2014-03-23 11:29:26,234] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (44.057735,28.596516,'Strada Ion Tuculescu','Judetul Constanta','Techirghiol','Romania');
[2014-03-23 11:29:26,289] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : SELECT * FROM VictimLocation;
[2014-03-23 11:29:26,290] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: SELECT * FROM VictimLocation;
[2014-03-23 11:29:26,410] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (45.331103,22.822643,'Platoul Rades-Zlata','Judetul Hunedoara','Rau de Mori','Romania');
[2014-03-23 11:29:26,411] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (45.331103,22.822643,'Platoul Rades-Zlata','Judetul Hunedoara','Rau de Mori','Romania');
[2014-03-23 11:29:26,421] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : SELECT * FROM VictimLocation;
[2014-03-23 11:29:26,422] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: SELECT * FROM VictimLocation;
[2014-03-23 11:29:55,195] in file: Database.py, module: Database at line 36 in __init__() | INFO | Connection succesful to database
[2014-03-23 11:29:55,195] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : SELECT * FROM CriminalLocation;
[2014-03-23 11:29:55,196] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: SELECT * FROM CriminalLocation;
[2014-03-23 11:29:55,344] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (45.3571195,25.5397671,'Strada Furnica','Prahova','Sinaia','Romania');
[2014-03-23 11:29:55,345] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (45.3571195,25.5397671,'Strada Furnica','Prahova','Sinaia','Romania');
[2014-03-23 11:29:55,516] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (44.417126,26.110211,'Strada Petre Liciu','Sector 4','Bucharest','Romania');
[2014-03-23 11:29:55,517] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (44.417126,26.110211,'Strada Petre Liciu','Sector 4','Bucharest','Romania');
[2014-03-23 11:29:55,690] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (46.6023,22.98421,'DN1R','Cluj County','Belis','Romania');
[2014-03-23 11:29:55,691] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (46.6023,22.98421,'DN1R','Cluj County','Belis','Romania');
[2014-03-23 11:29:55,817] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (44.402913,26.136045,'Splaiul Unirii','Sector 4','Bucharest','Romania');
[2014-03-23 11:29:55,819] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (44.402913,26.136045,'Splaiul Unirii','Sector 4','Bucharest','Romania');
[2014-03-23 11:29:55,967] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (45.18536,29.655238,'DC2','Judetul Tulcea','Sulina','Romania');
[2014-03-23 11:29:55,968] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (45.18536,29.655238,'DC2','Judetul Tulcea','Sulina','Romania');
[2014-03-23 11:29:56,554] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (44.057735,28.596516,'Strada Ion Tuculescu','Judetul Constanta','Techirghiol','Romania');
[2014-03-23 11:29:56,556] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (44.057735,28.596516,'Strada Ion Tuculescu','Judetul Constanta','Techirghiol','Romania');
[2014-03-23 11:29:56,715] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (45.331103,22.822643,'Platoul Rades-Zlata','Judetul Hunedoara','Rau de Mori','Romania');
[2014-03-23 11:29:56,716] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (45.331103,22.822643,'Platoul Rades-Zlata','Judetul Hunedoara','Rau de Mori','Romania');
[2014-03-23 11:29:56,781] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : SELECT * FROM VictimLocation;
[2014-03-23 11:29:56,783] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: SELECT * FROM VictimLocation;
[2014-03-23 21:17:39,100] in file: Database.py, module: Database at line 38 in __init__() | INFO | Connection succesful to database
[2014-03-23 21:17:39,194] in file: Database.py, module: Database at line 51 in execute_sql() | DEBUG | SQL query was : SELECT * FROM CriminalLocation;
[2014-03-23 21:17:39,394] in file: Database.py, module: Database at line 55 in execute_sql() | DEBUG | SQL query executed was: SELECT * FROM CriminalLocation;
[2014-03-23 21:18:01,171] in file: Database.py, module: Database at line 38 in __init__() | INFO | Connection succesful to database
[2014-03-23 21:18:01,171] in file: Database.py, module: Database at line 51 in execute_sql() | DEBUG | SQL query was : SELECT * FROM CriminalLocation;
[2014-03-23 21:18:01,172] in file: Database.py, module: Database at line 55 in execute_sql() | DEBUG | SQL query executed was: SELECT * FROM CriminalLocation;
[2014-03-23 21:18:30,273] in file: Database.py, module: Database at line 38 in __init__() | INFO | Connection succesful to database
[2014-03-23 21:18:30,274] in file: Database.py, module: Database at line 51 in execute_sql() | DEBUG | SQL query was : SELECT * FROM CriminalLocation;
[2014-03-23 21:18:30,275] in file: Database.py, module: Database at line 55 in execute_sql() | DEBUG | SQL query executed was: SELECT * FROM CriminalLocation;
[2014-03-23 21:18:30,518] in file: Database.py, module: Database at line 51 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,PostedTime,route,         sublocality, city, country) values (45.3571195,25.5397671,'2014-03-23 21:18:30','Strada Furnica','Prahova','Sinaia','Romania');
